name;company;technology;job;location;salary
MD Senior Migration & Development Analyst - Remote;Link Group;['SQL', 'VBA', 'Excel', 'MS Access'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 18500, 'high': 25500, 'currency': 'PLN'}
Data Analyst (SAP);Team Connect Sp. z o.o.;['SAP', 'Data models', 'SAP BW', 'Data visualization'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 23500, 'high': 28500, 'currency': 'PLN'}
Expert Data Analyst;emagine Sp. Z o.o.;['Analyst', 'Business Analyst', 'SQL', 'SAS'];data analyst;{'city': 'Gdańsk', 'country': 'N/A'};{'low': 25200, 'high': 28560, 'currency': 'PLN'}
Quant Analyst/Model Analyst;emagine Sp. Z o.o.;['C++', 'Degree', 'PhD', 'MSc'];data analyst;{'city': 'Kraków', 'country': 'N/A'};{'low': 23520, 'high': 23520, 'currency': 'PLN'}
Lead BI Analyst / Data Business Analyst;EPAM Systems;['Analyst', 'SQL', 'BI', 'Business Analyst'];data analyst;{'city': 'Warsaw', 'country': 'N/A'};{'low': 22400, 'high': 25400, 'currency': 'PLN'}
Python Data Analyst / Programmer;Polskie Technologie;['SQL', 'SQL Server', 'Python', 'Power BI'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': 8700, 'high': 15000, 'currency': 'PLN'}
Data Analyst;emagine Sp. Z o.o.;['Python', 'Jira', 'Confluence', 'Monday.com'];data analyst;{'city': 'Kraków', 'country': 'N/A'};{'low': 18480, 'high': 20160, 'currency': 'PLN'}
Remote Data Migration Analyst;Link Group;['SQL', 'VBA', 'Excel', 'MS Access'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 20160, 'high': 25200, 'currency': 'PLN'}
Data Analyst (Product Data Analyst) (mid/senior);Revolut Ltd;['Python', 'SQL', 'Polish', 'English'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Senior Data Analyst;Devire;['SQL', 'Power BI', 'Tableau', 'Python'];data analyst;{'city': 'Kraków', 'country': 'N/A'};{'low': 17000, 'high': 20000, 'currency': 'PLN'}
Data Analyst (Treasury & Investments) (mid/senior);Revolut Ltd;['Python', 'SQL', 'Scala', 'C++'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
